user_id,_type,amount,create_time,fee,token_slot,price_0,price_1
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,66.48,"12/01/2020, 01:39:31",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xd45f3183706f0bdea141303a767b5c3c939e812c,Buy,52.09,"12/01/2020, 01:26:46",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xb12fe6a948ee81e878c943b79c4564808acb38a0,Sell,62.84,"12/01/2020, 01:02:33",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Sell,7.83,"12/01/2020, 00:50:40",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x3334d75e513c9a13eeb2da1e404cbacd13c18c28,Buy,125.49,"11/30/2020, 21:42:15",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Buy,34.11,"11/30/2020, 19:04:56",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Sell,99.99,"11/30/2020, 18:53:50",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Sell,13.65,"11/30/2020, 16:51:27",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xca3ca03df59eaa9c45f20f61003468006063b8e2,Sell,73.75,"11/30/2020, 16:37:50",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Sell,29.99,"11/30/2020, 16:28:23",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Sell,54.99,"11/30/2020, 16:10:37",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Buy,92.3,"11/30/2020, 16:06:20",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,82.98,"11/30/2020, 14:27:23",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,84.66,"11/30/2020, 12:16:56",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Buy,10.61,"11/30/2020, 12:07:57",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Buy,3.03,"11/30/2020, 08:18:16",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xe6850a955f19f35586e7b7be771e2126caf2923b,Buy,114.41,"11/30/2020, 07:29:26",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,54.5,"11/30/2020, 02:16:18",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xca3ca03df59eaa9c45f20f61003468006063b8e2,Buy,39.25,"11/29/2020, 22:49:58",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xca3ca03df59eaa9c45f20f61003468006063b8e2,Buy,34.49,"11/29/2020, 18:00:30",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,43.65,"11/29/2020, 17:26:18",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Buy,22.34,"11/29/2020, 15:13:39",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xce6cb757f9535c01510e000b3329bf8b9b08dbfa,Buy,15.49,"11/29/2020, 05:09:27",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Sell,1.06,"11/27/2020, 09:49:57",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x036c30a3f3792add0f42539b4105d192039ccd17,Buy,58.2,"11/27/2020, 02:07:27",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xb12fe6a948ee81e878c943b79c4564808acb38a0,Buy,62.84,"11/27/2020, 00:58:51",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xbbc6e3d9315bcb0bb5b9e50e9441a90acf1f91dc,Sell,220.57,"11/27/2020, 00:32:32",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Sell,9.8,"11/25/2020, 03:47:36",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Buy,1.06,"11/25/2020, 03:33:13",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xbbc6e3d9315bcb0bb5b9e50e9441a90acf1f91dc,Buy,220.57,"11/25/2020, 01:37:20",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x17491f85846cbc746ab23813804ab8f2d366d0fc,Sell,22.35,"11/25/2020, 00:12:34",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xb390efa147f52b1566adc1f52a0478c432c77bcf,Buy,38.73,"11/24/2020, 22:20:45",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x234ac56103b3e520420b36176131fe1ec35dc3ff,Buy,9.8,"11/24/2020, 19:44:28",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0xb0e9eb8dd8c6c32fb6b2302de419ce18f52b9382,Buy,30.69,"11/24/2020, 09:51:49",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x17491f85846cbc746ab23813804ab8f2d366d0fc,Buy,22.35,"11/24/2020, 04:44:50",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x83d8113c378ad3b88c8adaa5bae5f76287b23299,Add,68.65,"11/23/2020, 23:58:39",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x83d8113c378ad3b88c8adaa5bae5f76287b23299,Buy,0.03,"11/23/2020, 21:47:16",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
0x89023deb1d9a9a62ff3a5ca8f23be8d87a576220,Add,1.0,"11/23/2020, 21:34:36",0.02,2,0.03491317682014710043861774068558251,0.9650868231798528995613822593144175
